Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Slew Rate Control
1,PA05,T1S_SCK,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,DISABLED
2,PA06,,Available,,,,,,DISABLED
3,PA07,T1S_MISO,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,DISABLED
4,PB00,CDC_TX,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,DISABLED
5,PB01,CDC_RX,SERCOM1_PAD1,Digital,High Impedance,n/a,No,No,DISABLED
6,PB02,FRET_ORANGE,GPIO,Digital,Out,Low,,,DISABLED
7,PB03,STRUM_UP,GPIO,Digital,Out,Low,,,DISABLED
8,PB04,,Available,,,,,,DISABLED
9,PB05,,Available,,,,,,DISABLED
10,PA08,FRET_YELLOW,GPIO,Digital,Out,Low,,,DISABLED
11,PA09,FRET_BLUE,GPIO,Digital,Out,Low,,,DISABLED
12,PA10,,Available,,,,,,DISABLED
13,PA11,SW3,GPIO,Digital,In,n/a,No,No,DISABLED
16,PA12,SW2,GPIO,Digital,In,n/a,No,No,DISABLED
17,PA13,T1S_CS,GPIO,Digital,Out,High,,,DISABLED
18,PA14,T1S_RST,GPIO,Digital,Out,High,,,DISABLED
19,PA15,T1S_IRQ_N,EIC_EXTINT15,Digital,In/Out,High,,,DISABLED
20,PA16,,Available,,,,,,DISABLED
21,PA17,,Available,,,,,,DISABLED
22,PA18,STRUM_DOWN,GPIO,Digital,Out,Low,,,DISABLED
23,PA19,,Available,,,,,,DISABLED
24,PA20,,Available,,,,,,DISABLED
25,PA21,FRET_RED,GPIO,Digital,Out,Low,,,DISABLED
26,PA22,FRET_GREEN,GPIO,Digital,Out,Low,,,DISABLED
27,PA23,,Available,,,,,,DISABLED
30,PB08,,Available,,,,,,DISABLED
31,PB09,,Available,,,,,,DISABLED
32,PB10,,Available,,,,,,DISABLED
33,PB11,,Available,,,,,,DISABLED
34,PA24,,Available,,,,,,DISABLED
35,PA25,,Available,,,,,,DISABLED
36,PA26,SW1,GPIO,Digital,In,n/a,No,No,DISABLED
37,PA27,,Available,,,,,,DISABLED
38,PA28,,Available,,,,,,DISABLED
39,PA29,,Available,,,,,,DISABLED
40,PA30,,Available,,,,,,DISABLED
41,PA31,,Available,,,,,,DISABLED
44,PA00,,Available,,,,,,DISABLED
45,PA01,,Available,,,,,,DISABLED
46,PA02,,Available,,,,,,DISABLED
47,PA03,,Available,,,,,,DISABLED
48,PA04,T1S_MOSI,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,DISABLED
