setlist,index,title,artist,album,nod_trim,length_s,year,genre,difficulty
main,0,"Slow Ride","Foghat","Fool for the City",,251,1975,"Classic Rock","1"
main,1,"Talk Dirty to Me","Poison","Look What the Cat Dragged In",,224,1987,"Glam Metal","1"
main,2,"Hit Me with Your Best Shot","Pat Benatar","Crimes of Passion",,172,1980,"Rock","1"
main,3,"Story of My Life","Social Distortion","Social Distortion",,350,1990,"Punk Rock","1"
main,4,"Rock and Roll All Nite","Kiss","Alive!",,217,1975,"Hard Rock","1"
main,5,"Sabotage","Beastie Boys","Ill Communication",,174,1994,"Rap Rock","1"
main,6,"Mississippi Queen","Mountain","Climbing!",,151,1970,"Hard Rock","2"
main,7,"School's Out","Alice Cooper","School's Out",,204,1972,"Hard Rock","2"
main,8,"Sunshine of Your Love","Cream","Disraeli Gears",,261,1968,"Rock","2"
main,9,"Barracuda","Heart","Little Queen",,263,1977,"Hard Rock","2"
main,10,"Bulls on Parade","Rage Against the Machine","Evil Empire",,231,1996,"Alternative Metal","2"
main,11,"Reptilia","The Strokes","Room on Fire",,218,2003,"Indie Rock","2"
main,12,"When You Were Young","The Killers","Sam's Town",,219,2006,"New Wave Rock","3"
main,13,"Miss Murder","AFI","DECEMBERUNDERGROUND",,204,2006,"Alternative Rock","3"
main,14,"The Seeker","The Who","Meaty Beaty Big and Bouncy",,208,1971,"Rock","3"
main,15,"Lay Down","Priestess","Hello Master",,187,2006,"Heavy Metal","3"
main,16,"Paint It Black","The Rolling Stones","Aftermath",,229,1966,"Classic Rock","3"
main,17,"Suck My Kiss","Red Hot Chili Peppers","Blood Sugar Sex Magik",,214,1991,"Funk Rock","3"
main,18,"Paranoid","Black Sabbath","Paranoid",,167,1970,"Heavy Metal","4"
main,19,"Anarchy in the U.K.","Sex Pistols","Never Mind the Bollocks, Here's the Sex Pistols",,217,1976,"Punk Rock","4"
main,20,"Kool Thing","Sonic Youth","Goo",,246,1990,"Experimental Rock","4"
main,21,"My Name Is Jonas","Weezer","Weezer",,204,1994,"Alternative Rock","4"
main,22,"Even Flow","Pearl Jam","Ten",,294,1991,"Grunge","4"
