"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
A2,PC30,AC69T88A_ENABLE,GPIO,Out,High,No,Disabled,No,No,Disabled,No,Low
A3,PC2,LCD_LVDS_D0_N,LVDSPHY_LVDS_A0M,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A4,PC4,LCD_LVDS_D1_N,LVDSPHY_LVDS_A1M,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A5,PC6,LCD_LVDS_D2_N,LVDSPHY_LVDS_A2M,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A7,PC10,LCD_LVDS_CK_N,LVDSPHY_LVDS_CLK1M,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A8,PC12,LCD_LVDS_D3_N,LVDSPHY_LVDS_A3M,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A9,PB19,QSPI_SCK,QSPI_QSCK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
A10,PB17,LED_8,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
A11,PB16,,Available,In,,,,,,,,
B1,PC28,LED_5,GPIO,Out,Low,No,Disabled,Yes,No,Disabled,No,Low
B3,PC3,LCD_LVDS_D0_P,LVDSPHY_LVDS_A0P,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B4,PC5,LCD_LVDS_D1_P,LVDSPHY_LVDS_A1P,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B5,PC7,LCD_LVDS_D2_P,LVDSPHY_LVDS_A2P,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B7,PC11,LCD_LVDS_CK_P,LVDSPHY_LVDS_CLK1P,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B8,PC13,LCD_LVDS_D3_P,LVDSPHY_LVDS_A3P,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B9,PB21,QSPI_IO0,QSPI_QIO0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B10,PB24,QSPI_IO3,QSPI_QIO3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B11,PB20,QSPI_CS,QSPI_QCS,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C1,PC24,T1S_nCS,FLEXCOM3_IO4,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C2,PC26,T1S_SCK,FLEXCOM3_IO2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C4,PC25,,Available,In,,,,,,,,
C5,PC27,LED_6,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
C7,PB15,,Available,In,,,,,,,,
C8,PB23,QSPI_IO2,QSPI_QIO2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C10,PB18,T1S_IRQ_N,GPIO,In,n/a,No,Falling Edge,Yes,No,Disabled,No,Low
C11,PB26,,Available,In,,,,,,,,
C17,PD5,,Available,In,,,,,,,,
D1,PC20,LED_BLUE,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
D2,PC22,T1S_MOSI,FLEXCOM3_IO0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D3,PC21,LED_GREEN,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
D5,PC29,LED_7,GPIO,Out,Low,No,Disabled,Yes,No,Disabled,No,Low
D7,PC31,,Available,In,,,,,,,,
D8,PB25,,Available,In,,,,,,,,
D10,PB22,QSPI_IO1,QSPI_QIO1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D16,PD10,NAND_D4,EBI_NANDDAT4,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
D17,PB8,,Available,In,,,,,,,,
E1,PC16,,Available,In,,,,,,,,
E2,PC18,LCD_BACKLIGHT_PWM,PWM_PWM0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
E3,PC15,LED_4,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
E4,PC23,T1S_MISO,FLEXCOM3_IO1,n/a,n/a,No,Disabled,No,Yes,Disabled,No,Low
E16,PD14,NAND_RDY,EBI_NANDRDY,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
E17,PB14,,Available,In,,,,,,,,
F2,PC14,LED_RED,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
F16,PB6,,Available,In,,,,,,,,
G1,PC8,USB_VBUS_SENSE,GPIO,In,n/a,No,Disabled,No,Yes,Disabled,No,Low
G2,PC0,,Available,In,,,,,,,,
G3,PC19,,Available,In,,,,,,,,
G4,PC17,,Available,In,,,,,,,,
G15,PD3,NAND_CLE,EBI_NANDCLE,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
G16,PB0,LED_2,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
G17,PA8,BUTTON_5,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
H3,PC9,,Available,In,,,,,,,,
H4,PC1,,Available,In,,,,,,,,
H14,PD1,NAND_WE,EBI_NANDWE,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
H15,PD8,NAND_D2,EBI_NANDDAT2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
H16,PB2,BUTTON_6,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
H17,PA0,SDMMC0_DAT0,SDMMC0_DAT0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
J16,PB4,LCD_MIPI_SDA,FLEXCOM8_IO0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
J17,PA4,SDMMC0_DAT2,SDMMC0_DAT2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
K15,PD12,NAND_D6,EBI_NANDDAT6,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
K16,PB10,,Available,In,,,,,,,,
K17,PA2,SDMMC0_CK,SDMMC0_CK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L5,PA29,GUITAR_RX,FLEXCOM1_IO1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L13,PA5,SDMMC0_DAT3,SDMMC0_DAT3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
L14,PA11,,Available,In,,,,,,,,
L15,PB1,BUTTON_2,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
L16,PB12,,Available,In,,,,,,,,
L17,PA6,BUTTON_3,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
M16,PA10,,Available,In,,,,,,,,
N4,PA26,DBGU_RX,DBGU_DRXD,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N11,PD0,NAND_RE,EBI_NANDOE,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N14,PD11,NAND_D5,EBI_NANDDAT5,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N15,PB5,LCD_MIPI_SCL,FLEXCOM8_IO1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N16,PB13,BUTTON_7,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
N17,PA19,CLASSD_L1,CLASSD_L1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P8,PD13,NAND_D7,EBI_NANDDAT7,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P10,PD4,NAND_CS,EBI_NANDCS,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P11,PD2,NAND_ALE,EBI_NANDALE,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P13,PD6,NAND_D0,EBI_NANDDAT0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P15,PD7,NAND_D1,EBI_NANDDAT1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P16,PA3,SDMMC0_DAT1,SDMMC0_DAT1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P17,PA17,T1S_RST,GPIO,Out,High,No,Disabled,No,No,Disabled,No,Low
R1,PA31,,Available,In,,,,,,,,
R2,PA25,,Available,In,,,,,,,,
R4,PA24,,Available,In,,,,,,,,
R5,PA12,,Available,In,,,,,,,,
R8,PB3,,Available,In,,,,,,,,
R11,PD9,NAND_D3,EBI_NANDDAT3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R13,PB7,BUTTON_4,GPIO,In,n/a,No,Disabled,No,No,Disabled,No,Low
